Category,Material Name (JP),Material Name (EN),Cutting Pressure,Multi-Cut,Blade Type,GSM,Surface Texture,Has Adhesive,Density (kg/m3),Shore Hardness A
Iron-On,,3D Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Others,アセテート,Acetate,250,2倍,ファインポイントブレード,200.0,plain,0,1300.0,75.0
Vinyl,接着箔,Adhesive Foil,90,-,ファインポイントブレード,120.0,foil,1,1365.0,75.0
Paper,キャリブレーションペーパー,Calibration Paper,150,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Vinyl,黒板ビニール,Chalkboard Vinyl,180,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Iron-On,,Chameleon Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,,Color Pop Iron-On,175,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Paper,建設用紙,Construction Paper,168,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Paper,,Copy Paper,95,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Cardstock,,Cutaway Card + Backer,150,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Vinyl,,Dry Erase Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Iron-On,エブリデイアイロン接着タイプ,Everyday Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Leather,フェイクレザー（ペーパーシン）,Faux Leather (Paper Thin),120,2倍,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Leather,フェイクスエード,Faux Suede,90,3倍,ファインポイントブレード,1440.0,plain,0,900.0,55.0
Others,フェルト,Felt,160,2倍,ファインポイントブレード,200.0,plain,0,300.0,20.0
Iron-On,,Flocked Iron-On,120,-,ファインポイントブレード,100.0,flock,0,1102.5,59.0
Iron-On,ホイルアイロン接着タイプ,Foil Iron-On,90,-,ファインポイントブレード,100.0,foil,0,1050.0,55.0
Cardstock,グリッターカードストック,Glitter Cardstock,270,2倍,ファインポイントブレード,216.0,glitter,0,920.0,48.0
Iron-On,グリッターアイロン接着タイプ,Glitter Iron-On,180,-,ファインポイントブレード,100.0,glitter,0,1176.0,63.0
Iron-On,,Glow in the Dark Iron-On,220,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Vinyl,,Glow in the Dark Vinyl,145,2倍,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,,Heat/Cold Activated Color Changing Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Cardstock,,Heavy Cardstock - 100 lb (270 gsm),280,2倍,ファインポイントブレード,270.0,plain,0,800.0,30.0
Paper,,Heavy Watercolor Paper - 140 lbs (300 gsm),220,2倍,ファインポイントブレード,300.0,plain,0,750.0,15.0
Iron-On,ホログラフィックアイロン接着タイプ,Holographic Iron-On,120,-,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Vinyl,ホログラフィックビニール,Holographic Vinyl,100,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Infusible Ink,インフュージブルインク転写シート,Infusible Ink Transfer Sheet,210,-,ファインポイントブレード,75.0,plain,0,800.0,20.0
Cardstock,,Insert Card - Cardstock,150,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Iron-On,,Iron-On Patches,160,3倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Printable Materials,,"Laminated Printable Sticker Paper, White",250,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Paper,レーザーコピー用紙,Laser Copy Paper,110,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
Cardstock,,Medium Cardstock - 80 lb (216 gsm),210,2倍,ファインポイントブレード,216.0,plain,0,800.0,30.0
Cardstock,,"Medium Cardstock - 80 lb (Basic Cuts, Single Pass)",270,-,ファインポイントブレード,300.79999999999995,plain,0,800.0,30.0
Iron-On,,Metallic Puff Iron-On,140,-,ファインポイントブレード,100.0,metallic,0,1102.5,55.0
Vinyl,,Premium Vinyl - Frosted Opaque,110,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,,Premium Vinyl - Holographic Sparkle,100,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Vinyl,,Premium Vinyl - Holographic Threads,100,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Vinyl,,Premium Vinyl - Pearl,120,-,ファインポイントブレード,120.0,shimmer,0,1326.0,70.0
Vinyl,,Premium Vinyl - Permanent,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,,Premium Vinyl - Removable,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Vinyl,,Premium Vinyl - Shimmer,110,-,ファインポイントブレード,120.0,shimmer,0,1339.0,71.0
Vinyl,,Premium Vinyl - Textured Metallic,110,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Vinyl,,Premium Vinyl - True Brushed,110,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Iron-On,,Printable Iron-On Glitter Kit,230,2倍,ファインポイントブレード,100.0,glitter,0,1176.0,61.0
Iron-On,,Printable Iron-On Glow in the Dark Kit,200,2倍,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,,Printable Iron-On Holographic Kit,200,2倍,ファインポイントブレード,100.0,holographic,0,1102.5,53.0
Iron-On,印刷可能なアイロン接着タイプ、ダーク,"Printable Iron-On, Dark",120,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,印刷可能なアイロン接着タイプ、ライト,"Printable Iron-On, Light",95,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,,"Printable Iron-On, Sublimation",100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Printable Materials,,Printable Magnetic Sheet,300,-,ファインポイントブレード,100.0,plain,0,3500.0,90.0
Printable Materials,,"Printable Sticker Paper, White",100,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,,Printable Temporary Tattoo Paper,350,2倍,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,,"Printable Vinyl, Specialty (Gold/Silver)",120,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,,"Printable Vinyl, Transparent",110,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,,"Printable Vinyl, White (Green Liner Printing)",90,-,ファインポイントブレード,100.0,plain,0,900.0,25.0
Printable Materials,,Printable Waterproof Sticker Set - Transparent,250,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,,Printable Waterproof Sticker Set - Transparent Holographic,250,2倍,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Printable Materials,,Printable Waterproof Sticker Set - White,180,2倍,ファインポイントブレード,100.0,plain,1,900.0,25.0
Printable Materials,,Printable Waterproof Sticker Set - White Holographic,180,2倍,ファインポイントブレード,100.0,holographic,1,945.0,33.0
Iron-On,,Puff Iron-On,120,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Iron-On,リフレクティブアイロン接着タイプ,Reflective Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Smart Materials,,Smart Iron-On Glitter Matless Heat Transfer Vinyl,180,-,ファインポイントブレード,120.0,glitter,0,1456.0,81.0
Smart Materials,,Smart Iron-On Holographic Matless Heat Transfer Vinyl,130,-,ファインポイントブレード,120.0,holographic,0,1365.0,73.0
Smart Materials,,Smart Iron-On Matless Heat Transfer Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Label Dissolvable Matless Writable Paper,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Label Matless Writable Paper,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Label Matless Writable Vinyl,120,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Paper Matless Sticker Cardstock,220,2倍,ファインポイントブレード,120.0,plain,1,1300.0,65.0
Smart Materials,,Smart Stencil Matless Flexible Stencil Film,100,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Vinyl Matless Permanent Vinyl,130,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Vinyl Matless Removable Vinyl,130,-,ファインポイントブレード,120.0,plain,0,1300.0,65.0
Smart Materials,,Smart Vinyl Matte Metallic Matless Permanent Vinyl,110,-,ファインポイントブレード,120.0,metallic,0,1365.0,75.0
Smart Materials,,Smart Vinyl Shimmer Matless Permanent Vinyl,145,-,ファインポイントブレード,120.0,shimmer,0,1339.0,71.0
Iron-On,SportFlexアイロン接着タイプ,SportFlex Iron-On,100,-,ファインポイントブレード,100.0,plain,0,1050.0,45.0
Paper,,Sublimation Paper,110,-,ファインポイントブレード,80.0,plain,0,750.0,15.0
